Annual_Income,Spending_Score,Age,Savings,Online_Spend
133096,58,24,38290,1766
98345,89,26,46541,4611
100391,16,36,10628,6272
127412,79,62,1329,1484
114924,90,57,39619,4503
26458,47,39,8032,4054
55524,44,35,49094,6405
26853,80,40,39034,8352
60477,14,19,38122,7338
52222,93,67,21622,7081
38320,24,67,29584,6126
114154,55,28,48850,6709
72243,15,48,5722,8764
65615,83,50,18772,1058
37352,72,31,21569,8824
92833,34,33,42679,593
113476,2,28,4235,7142
134560,27,50,5576,181
23203,74,24,27707,7099
59267,99,48,34868,3070
57941,87,65,42632,111
102809,72,63,42476,7924
45368,92,64,31285,861
97186,23,31,25154,3285
50984,68,45,21054,125
61941,14,60,18165,1906
92918,63,33,15439,6751
72683,93,36,45518,5764
146409,65,34,23515,5254
20801,68,43,27962,5924
126538,63,23,43549,3759
132201,96,60,38763,1625
67965,97,66,45754,860
105269,90,26,46278,694
142693,81,67,20464,7292
29969,87,34,43036,1155
55969,64,48,31413,3183
102269,32,29,34270,3775
52449,79,40,43299,9750
111679,13,22,21269,6057
45705,66,60,32541,5355
80303,19,53,9009,9511
48363,24,53,18007,4328
50720,88,20,27462,4281
29972,11,41,12542,9791
53351,59,34,18434,1930
131023,86,56,30765,3495
56145,15,43,24769,1303
107948,10,21,23465,2910
109614,41,62,22868,3192
108116,27,29,21156,3144
76235,60,18,21300,6171
34855,73,38,14435,7372
56169,52,36,5114,4773
66404,28,38,47336,3614
39569,65,69,37135,6292
145074,17,35,9095,244
149006,95,60,38909,7607
74437,44,69,4951,4957
68506,10,20,22468,1477
45738,63,66,28073,3246
26772,93,61,48655,5124
110410,82,49,35341,893
39731,47,27,47127,9893
30131,38,57,3768,5856
86324,70,32,39070,4514
74097,76,22,47514,1210
101720,53,21,34979,5772
116433,78,45,26351,4153
22889,44,69,16445,4037
29569,74,68,49583,4063
107193,54,21,2160,5042
95677,20,32,23361,5997
105192,79,34,8041,9074
143757,31,61,19767,1216
107154,7,20,11846,1850
97470,58,27,39644,4127
128073,10,64,20924,5845
108822,10,59,46657,5164
146019,39,40,14882,9779
27612,28,35,15738,6038
71644,30,18,22019,3497
52069,37,52,2095,8365
101741,67,48,39669,1459
47331,43,61,41983,9383
75897,79,18,46679,4953
33934,85,20,15123,2041
30095,52,20,29132,3248
111494,56,54,2079,8033
122544,76,36,30657,9536
38706,68,46,46278,1385
63516,9,42,33375,6574
123602,92,50,25754,870
117008,23,53,32153,1943
54629,63,46,19344,173
66910,61,43,35241,1760
108540,40,21,38656,4449
144746,44,66,5979,7202
40431,86,31,2212,8100
76733,24,67,10001,9111
60088,51,44,14248,3918
64135,58,50,34187,431
135786,90,39,16608,1521
58015,94,65,37427,7612
120038,33,20,32368,6990
51385,16,40,6283,5031
90199,22,38,26854,9983
58677,57,58,11715,6125
138104,62,40,17165,4508
32818,82,21,35108,5213
